名称,住所
介護サポート　カモミール,埼玉県川口市北原台1-12-21エマーユ東川口103号室
居宅介護支援事業所　やまぶき,埼玉県川口市安行慈林739番地
居宅介護支援事業所　さざんかの郷,埼玉県川口市新井宿８２４番地
ルーエンハイム川口居宅介護支援センター,埼玉県川口市上青木6-15-18
居宅介護支援事業所　みどり,埼玉県川口市芝樋ノ爪1-9-13
合同会社和ごころケア,埼玉県川口市西青木五丁目２番２８号志陽ハイツＫ＆Ｉ407
居宅介護支援事業所　そら,埼玉県川口市芝1-10-4第２寿荘１号
ＰＯＮＯＰＯＮＯ　居宅介護支援事業所,埼玉県川口市西青木2-12-2池田ビル１階
ＳＯＭＰＯケア　川口栄　居宅介護支援,埼玉県川口市栄町１－１１－１１コーポ高徳１０１号室
居宅介護支援事業所　ワンすもあ,埼玉県川口市東本郷837番地
南鳩ヶ谷支援事業所,埼玉県川口市南鳩ヶ谷一丁目３３番４号
居宅介護支援事業所　わかば,埼玉県川口市西川口2-5-2-701
特別養護老人ホームさざんかの郷,埼玉県川口市新井宿８２４
特別養護老人ホーム　紫水苑,埼玉県川口市大字石神１５６０－１
介護老人福祉施設　春輝苑,埼玉県川口市青木３－２０－１５
介護老人福祉施設　川口しあわせの里,埼玉県川口市安行領根岸字原山３７６３番地
特別養護老人ホーム　春香苑,埼玉県川口市末広三丁目３番３０号
介護老人福祉施設　川口かがやきの里,埼玉県川口市西新井宿字北田1065番1
川口市特別養護老人ホーム,埼玉県川口市赤井１０５５
特別養護老人ホーム　かわぐち翔裕園,埼玉県川口市赤芝新田１１４－１
特別養護老人ホーム　川口さくらの杜,埼玉県川口市神戸５３９番地５
特別養護老人ホーム　さくらの里,埼玉県川口市大字峯８８８番１
特別養護老人ホーム　みやびの郷,埼玉県川口市石神５８
介護老人福祉施設　川口ほほえみの里,埼玉県川口市大字西新井宿字北田９８０
特別養護老人ホーム　第二川口シニアセンター（ユニット型）,埼玉県川口市西新井宿1193-1
特別養護老人ホーム　第二川口シニアセンター（多床型）,埼玉県川口市西新井宿1193-1
特別養護老人ホーム　第２春香苑,埼玉県川口市末広3-4-13
特別養護老人ホーム　香の里,埼玉県川口市安行小山456
特別養護老人ホーム　孝の季苑,埼玉県川口市青木５丁目１７番２３号
医療法人社団武蔵野会　介護老人保健施設　グリーンビレッジ安行,埼玉県川口市大字安行１１４５
介護療養型老人保健施設　ひだまりの郷,埼玉県川口市上青木４－２－６
川口さくら病院,埼玉県川口市神戸２５８－１
ダスキンヘルスレント川口ステーション,埼玉県川口市上青木西２－１０－1６　１－Ｂ
はとがや介護医療院,埼玉県川口市坂下町４－１６－２６
株式会社　あさひケアサービス,埼玉県行田市持田２４２０番地
緑風苑ホームヘルプサービス,埼玉県行田市須加１５６３
訪問介護ステーション　壮幸会,埼玉県行田市下忍１１６２－１４
まきば園ホームヘルパーステーション,埼玉県行田市白川戸２７５
行田ケアセンターそよ風,埼玉県行田市天満８－２９
生協さきたまヘルパーステーション,埼玉県行田市本丸１８－３
介護サービスひまわり,埼玉県行田市長野４丁目１９番地１０パークハイム　A棟１０３号室
パーソナルアシスタントぎょうだ,埼玉県行田市向町21番37号
けあビジョン行田,埼玉県行田市行田６－１　３階
ふぁみぃゆ訪問介護,埼玉県行田市下須戸75番地
訪問介護四ツ葉,埼玉県行田市向町25番20号-1F
株式会社　エミール行田入浴介護事業所,埼玉県行田市持田２－１５－１４
緑風苑　訪問入浴サービス,埼玉県行田市須加1563
行田訪問看護ステーション,埼玉県行田市須加１５６３
医療生協さいたま　きょうりつ訪問看護ステーション,埼玉県行田市本丸１８－３
壮幸会行田訪問看護ステーション,埼玉県行田市持田字東谷３９３－３
さくらケア訪問看護リハビリステーション,埼玉県行田市長野２丁目２９－３８
アルファケア訪問看護リハビリステーション,埼玉県行田市門井町3-19-7
あおきリハビリ訪問看護ステーション,埼玉県行田市城西2-6-6クレスト城西103号室
南河原福祉の里　老人デイサービスセンター,埼玉県行田市馬見塚６９３
緑風苑　デイサービスセンター,埼玉県行田市須加１５２９
まきば園デイサービスセンター,埼玉県行田市白川戸２７５
ことぶきデイサービスセンター行田,埼玉県行田市和田４８４－３
あすかデイサービスセンター,埼玉県行田市前谷９２２－１
通所介護事業所・介護予防通所介護事業所ふぁみぃゆデイサービスセンター,埼玉県行田市下須戸７５番地
まきばの温泉デイサービスセンター,埼玉県行田市向町１４－２２
あずみ苑行田,埼玉県行田市門井町３－２－１
社会医療法人　壮幸会　介護保険施設　心春（こはる）,埼玉県行田市持田２４２６
緑風苑デイサービスセンター　うららか,埼玉県行田市佐間１４６９－１
ケアステーションあさひ行田,埼玉県行田市持田2539-1
ケアステーションあさひ行田第弐,埼玉県行田市藤原町2-22-3
デイサービス一期の家　行田持田,埼玉県行田市持田3-3-5
ひだまりの夢,埼玉県行田市持田２３５７番地１
生活機能リハビリデイサービスセンター美咲郷,埼玉県行田市谷郷４０５－１
社会医療法人　壮幸会　介護老人保健施設ハートフル行田,埼玉県行田市下忍１１５７－１
介護老人保健施設グリーンピア,埼玉県行田市須加１５３１
医療法人　葦の会　デイケア「元気いっぱい」,埼玉県行田市下忍１０８９－１
医療法人　葦の会「笑顔いっぱい」,埼玉県行田市下忍１０８６番地１
おきな　ショートステイ,埼玉県行田市馬見塚６９３
緑風苑　ショートステイ,埼玉県行田市須加1529
まきば園,埼玉県行田市白川戸２７５
短期入所生活介護事業所ふぁみぃゆショートステイ,埼玉県行田市下須戸７５番地
ソレアード行田　ショートステイセンター,埼玉県行田市門井町１－３２－１
行田ショートステイそよ風,埼玉県行田市天満3-15
特別養護老人ホーム雅,埼玉県行田市持田２４２４番地
陽だまりの幸望庵,埼玉県行田市荒木２０５２番地１
ショートステイ　行田さくらそう,埼玉県行田市藤間四ノ口352番地1
さつきホーム,埼玉県行田市荒木２１３１－３
ケアハウス緑風苑,埼玉県行田市須加１５２９
イリーゼ行田,埼玉県行田市向町１５－３７
株式会社　高橋医科器械店　熊谷営業所,埼玉県行田市持田３－２－１８
株式会社　エミール行田福祉用具貸与事業所,埼玉県行田市持田２－１５－１４
株式会社同仁社　埼玉営業所,埼玉県行田市門井町３－２２－１５
カインズホーム行田店,埼玉県行田市持田780
サンテグラース,埼玉県行田市持田３丁目２７番１９号
アルファケア福祉用具サービス,埼玉県行田市門井町３－１９－７
医療生協ケアセンターさきたま,埼玉県行田市本丸１８－３
居宅介護支援　おきな,埼玉県行田市馬見塚６９３
行田市在宅介護支援センター壮幸会,埼玉県行田市下忍１１６２－１４
行田市在宅介護支援センター　　緑風苑,埼玉県行田市須加１５２９
まきば園　居宅介護支援センター,埼玉県行田市白川戸２７５
埼玉医療生活協同組合　行田ふれあい介護相談所,埼玉県行田市持田３丁目１５番地２３号
居宅介護支援事業所　ふぁみぃゆケアプランセンター,埼玉県行田市下須戸７５番地
介護支援ひまわり,埼玉県行田市長野四丁目19番地10　パークハイムA棟105号室
あずみ苑　行田,埼玉県行田市門井町３－２－１
居宅介護支援事業所ソフィーズ,埼玉県行田市矢場一丁目３番３号
アルファケア居宅介護支援事業所,埼玉県行田市門井町３－１９－７
ケアプランセンター美咲郷,埼玉県行田市谷郷４０５－１
特別養護老人ホームおきな,埼玉県行田市馬見塚６９３
特別養護老人ホーム緑風苑,埼玉県行田市須加１５２９
介護老人福祉施設ふぁみぃゆ行田,埼玉県行田市下須戸７５番地
特別養護老人ホーム雅,埼玉県行田市持田２４２４番
特別養護老人ホーム　行田さくらそう,埼玉県行田市藤間四ノ口352番地1
株式会社　高橋医科器械店　熊谷営業所　,埼玉県行田市持田３－２－１８
株式会社　エミール行田特定（介護予防）福祉用具販売事業所,埼玉県行田市持田２－１５－１４
介護老人保健施設うらら,埼玉県秩父市中村町３－６－２４
有限会社大島介護　大島介護サービスセンター　,埼玉県秩父市寺尾44-4
たんぽぽの家,埼玉県秩父市下影森８８８番地５
ヘルパーステーション　あおぞら,埼玉県秩父市吉田久長１９３
生協ちちぶケアステーション訪問介護,埼玉県秩父市阿保町1-11
ふくしのまち秩父,埼玉県秩父市阿保町２－７
和らぎサポートセンター,埼玉県秩父市上影森503番地10
社会福祉法人　秩父市社会福祉協議会,埼玉県秩父市野坂町１－１３－１４
ヘルパーセンターあおば,埼玉県秩父市小柱１９６
藤の花,埼玉県秩父市日野田町２－１４－５
秩父市ヘルパーステーション,埼玉県秩父市蒔田１９７７
けあビジョン秩父,埼玉県秩父市番場町１５－１０　サンクレイン番場１０２号室
あしたばサービス,埼玉県秩父市阿保町２番５号
